Dataset,Analysis_Type,Feature_or_Method,Method,Pct_Outliers
MIMIC-IV,Multivariate,All,Isolation Forest,1.0
MIMIC-IV,Multivariate,All,LOF,1.0
MIMIC-IV,Multivariate,All,Mahalanobis,2.99
MIMIC-IV,Univariate,QRS_Dur_Global,IQR,3.26
MIMIC-IV,Univariate,QRS_Dur_Global,Z-Score,0.82
MIMIC-IV,Univariate,QRS_Dur_Global,MAD,0.96
MIMIC-IV,Univariate,QRS_Dur_Global_count,IQR,1.37
MIMIC-IV,Univariate,QRS_Dur_Global_count,Z-Score,0.86
MIMIC-IV,Univariate,QRS_Dur_Global_count,MAD,1.37
MIMIC-IV,Univariate,QRS_Dur_Global_iqr,IQR,1.92
MIMIC-IV,Univariate,QRS_Dur_Global_iqr,Z-Score,1.07
MIMIC-IV,Univariate,QRS_Dur_Global_iqr,MAD,1.0
MIMIC-IV,Univariate,Q_Amp_I,IQR,9.7
MIMIC-IV,Univariate,Q_Amp_I,Z-Score,1.29
MIMIC-IV,Univariate,Q_Amp_I,MAD,7.09
MIMIC-IV,Univariate,Q_Amp_II,IQR,15.88
MIMIC-IV,Univariate,Q_Amp_II,Z-Score,1.52
MIMIC-IV,Univariate,Q_Amp_II,MAD,11.9
MIMIC-IV,Univariate,Q_Amp_III,IQR,7.74
MIMIC-IV,Univariate,Q_Amp_III,Z-Score,0.98
MIMIC-IV,Univariate,Q_Amp_III,MAD,4.21
MIMIC-IV,Univariate,Q_Amp_III_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_III_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_III_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_III_iqr,IQR,8.63
MIMIC-IV,Univariate,Q_Amp_III_iqr,Z-Score,0.2
MIMIC-IV,Univariate,Q_Amp_III_iqr,MAD,8.49
MIMIC-IV,Univariate,Q_Amp_II_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_II_count,Z-Score,0.87
MIMIC-IV,Univariate,Q_Amp_II_count,MAD,1.37
MIMIC-IV,Univariate,Q_Amp_II_iqr,IQR,8.39
MIMIC-IV,Univariate,Q_Amp_II_iqr,Z-Score,0.16
MIMIC-IV,Univariate,Q_Amp_II_iqr,MAD,8.23
MIMIC-IV,Univariate,Q_Amp_I_count,IQR,1.38
MIMIC-IV,Univariate,Q_Amp_I_count,Z-Score,0.87
