Feature,KS_Statistic,KS_pvalue,Cohens_d,JS_Divergence,Quantile_Correlation,Similarity_Score
T_Amp_aVR,0.097,0.0,0.09,0.0,0.998,98.029
Q_Amp_III,0.085,0.0,0.022,0.0,0.996,97.777
T_Amp_V6,0.108,0.0,0.024,0.001,0.996,97.642
R_Amp_I,0.099,0.0,-0.092,0.001,0.994,97.396
T_Amp_III,0.057,0.0,0.011,0.001,0.998,97.327
T_Amp_I,0.117,0.0,0.092,0.001,0.997,97.031
T_Amp_V5,0.08,0.0,-0.017,0.001,0.996,97.006
T_Amp_II,0.075,0.0,0.016,0.002,0.997,96.885
QRS_Dur_Global_iqr,0.058,0.0,0.116,0.003,0.999,96.424
T_Amp_V4,0.142,0.0,-0.106,0.001,0.997,96.413
R_Amp_III,0.072,0.0,-0.069,0.002,0.998,96.193
R_Amp_V3_iqr,0.206,0.0,-0.051,0.0,0.992,95.83
R_Amp_aVR,0.188,0.0,0.174,0.001,0.983,95.827
R_Amp_aVF_iqr,0.209,0.0,-0.024,0.0,0.995,95.726
R_Amp_V2_iqr,0.217,0.0,-0.044,0.0,0.992,95.619
R_Amp_III_iqr,0.221,0.0,-0.021,0.0,0.99,95.55
T_Amp_aVF,0.145,0.0,-0.193,0.004,0.976,95.524
RR_Mean_Global_iqr,0.144,0.0,0.067,0.003,0.994,95.092
R_Amp_V4_iqr,0.248,0.0,-0.056,0.0,0.996,94.97
S_Amp_V1,0.24,0.0,-0.036,0.001,0.985,94.862
R_Amp_V5_iqr,0.259,0.0,-0.074,0.0,0.989,94.78
Q_Amp_aVF,0.121,0.0,-0.07,0.004,0.987,94.768
R_Amp_V1_iqr,0.266,0.0,-0.053,0.0,0.995,94.668
R_Amp_I_iqr,0.28,0.0,-0.027,0.0,0.995,94.376
R_Amp_aVL_iqr,0.28,0.0,-0.023,0.0,0.976,94.328
T_Amp_V3,0.229,0.0,-0.254,0.003,0.997,94.324
R_Amp_V6_iqr,0.283,0.0,-0.086,0.0,0.976,94.319
Q_Amp_V1,0.178,0.0,-0.165,0.004,0.989,94.182
T_Amp_aVL,0.239,0.0,0.374,0.008,0.965,94.049
R_Amp_V1,0.173,0.0,0.211,0.006,0.984,93.967
S_Amp_V2,0.138,0.0,0.105,0.005,0.996,93.773
S_Amp_V2_iqr,0.316,0.0,-0.132,0.0,0.997,93.574
R_Amp_II_iqr,0.325,0.0,-0.058,0.0,0.984,93.429
Q_Amp_V2,0.139,0.0,-0.208,0.008,0.995,93.369
R_Amp_V2,0.211,0.0,0.235,0.006,0.992,93.255
Q_Amp_V3,0.211,0.0,-0.067,0.005,0.996,92.977
Q_Amp_aVL,0.217,0.0,0.262,0.006,0.991,92.971
S_Amp_V1_iqr,0.349,0.0,-0.133,0.0,0.998,92.914
S_Amp_V3_iqr,0.353,0.0,-0.129,0.0,0.997,92.849
Q_Amp_V3_iqr,0.352,0.0,-0.144,0.001,0.996,92.791
Q_Amp_V2_iqr,0.358,0.0,-0.146,0.0,0.996,92.722
Q_Amp_aVL_iqr,0.374,0.0,-0.091,0.0,0.992,92.512
R_Amp_II,0.177,0.0,-0.203,0.009,0.993,92.335
Q_Amp_V4_iqr,0.375,0.0,-0.127,0.001,0.995,92.306
T_Amp_V3_iqr,0.383,0.0,-0.124,0.001,0.997,92.202
Q_Amp_III_iqr,0.394,0.0,-0.14,0.0,0.987,92.082
T_Amp_V2_iqr,0.387,0.0,-0.116,0.001,0.999,92.059
T_Amp_V1,0.182,0.0,-0.118,0.006,0.998,91.994
T_Amp_V1_iqr,0.397,0.0,-0.082,0.001,0.998,91.89
Q_Amp_V1_iqr,0.402,0.0,-0.124,0.0,0.995,91.863
R_Amp_aVR_iqr,0.406,0.0,-0.045,0.0,0.991,91.823
Q_Amp_aVR,0.387,0.0,-0.303,0.002,0.993,91.231
T_Amp_V4_iqr,0.436,0.0,-0.068,0.0,0.993,91.218
Q_Amp_V6,0.339,0.0,0.219,0.007,0.975,91.217
Q_Amp_V5_iqr,0.447,0.0,-0.161,0.0,0.973,90.905
QRS_Dur_Global,0.11,0.0,0.145,0.018,0.997,90.88
Q_Amp_II,0.322,0.0,0.225,0.005,0.998,90.866
R_Amp_aVL,0.311,0.0,-0.406,0.016,0.988,90.634
Q_Amp_II_iqr,0.469,0.0,-0.164,0.0,0.979,90.57
T_Amp_III_iqr,0.469,0.0,-0.196,0.0,0.996,90.543
T_Amp_V5_iqr,0.468,0.0,-0.12,0.001,0.989,90.531
T_Amp_aVL_iqr,0.474,0.0,-0.161,0.0,0.99,90.51
R_Amp_aVF,0.226,0.0,0.207,0.011,0.986,90.492
S_Amp_V3,0.208,0.0,0.326,0.013,0.984,90.377
T_Amp_V6_iqr,0.482,0.0,-0.101,0.0,0.991,90.29
ST_Elev_V2_iqr,0.46,0.0,-0.341,0.004,0.987,90.188
ST_Elev_V3_iqr,0.465,0.0,-0.255,0.003,0.989,90.164
T_Amp_aVF_iqr,0.49,0.0,-0.195,0.0,0.992,90.158
Q_Amp_aVF_iqr,0.489,0.0,-0.14,0.0,0.974,90.146
Q_Amp_I_iqr,0.502,0.0,-0.162,0.0,0.985,89.955
T_Amp_II_iqr,0.499,0.0,-0.234,0.0,0.989,89.931
Q_Amp_V6_iqr,0.494,0.0,-0.202,0.001,0.961,89.904
T_Amp_I_iqr,0.503,0.0,-0.298,0.001,0.99,89.791
R_Amp_V3,0.119,0.0,-0.088,0.019,0.984,89.665
T_Amp_aVR_iqr,0.517,0.0,-0.159,0.0,0.99,89.66
ST_Elev_V5,0.288,0.0,0.087,0.026,0.968,89.407
Q_Amp_V5,0.373,0.0,0.246,0.009,0.966,89.118
Q_Amp_aVR_iqr,0.545,0.0,-0.103,0.0,0.975,89.085
ST_Elev_V3,0.422,0.0,-0.334,0.005,0.973,88.992
T_Amp_V2,0.256,0.0,-0.302,0.015,0.998,88.378
RR_Mean_Global,0.18,0.0,-0.341,0.024,0.997,88.222
R_Amp_V4,0.273,0.0,-0.388,0.02,0.968,88.016
ST_Elev_V4,0.336,0.0,-0.134,0.035,0.975,87.557
ST_Elev_V4_iqr,0.594,0.0,-0.31,0.004,0.98,87.461
Q_Amp_aVF_count,0.201,0.0,0.43,0.031,0.986,86.676
S_Amp_V2_count,0.201,0.0,0.43,0.031,0.986,86.676
S_Amp_V1_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_I_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_V1_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_III_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_II_count,0.201,0.0,0.43,0.031,0.986,86.676
S_Amp_V3_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_II_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_V2_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_V3_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_V1_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_III_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_II_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_I_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_V3_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_aVF_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_I_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_V1_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_aVL_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_V3_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_V2_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_aVF_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_aVR_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_III_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_aVL_count,0.201,0.0,0.43,0.031,0.986,86.676
Q_Amp_aVR_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_V2_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_aVR_count,0.201,0.0,0.43,0.031,0.986,86.676
R_Amp_aVL_count,0.201,0.0,0.43,0.031,0.986,86.676
T_Amp_V5_count,0.201,0.0,0.43,0.031,0.986,86.673
Q_Amp_V4_count,0.201,0.0,0.43,0.031,0.986,86.673
Q_Amp_V5_count,0.201,0.0,0.43,0.031,0.986,86.673
R_Amp_V5_count,0.201,0.0,0.43,0.031,0.986,86.673
Q_Amp_V6_count,0.201,0.0,0.43,0.031,0.986,86.673
R_Amp_V4_count,0.201,0.0,0.43,0.031,0.986,86.673
T_Amp_V4_count,0.201,0.0,0.43,0.031,0.986,86.673
T_Amp_V6_count,0.201,0.0,0.43,0.031,0.986,86.673
R_Amp_V6_count,0.201,0.0,0.43,0.031,0.986,86.673
R_Amp_V5,0.327,0.0,-0.513,0.025,0.971,86.61
ST_Elev_V2,0.549,0.0,-0.497,0.011,0.974,86.506
QRS_Dur_Global_count,0.206,0.0,0.442,0.032,0.988,86.379
ST_Elev_V6,0.341,0.0,0.18,0.043,0.955,86.249
ST_Elev_V5_iqr,0.696,0.0,-0.383,0.005,0.978,85.288
ST_Elev_II,0.365,0.0,0.34,0.037,0.985,85.074
Q_Amp_V4,0.359,0.0,0.14,0.033,0.984,84.518
ST_Elev_II_iqr,0.783,0.0,-0.736,0.005,0.986,83.579
ST_Elev_V6_iqr,0.781,0.0,-0.554,0.005,0.969,83.543
ST_Elev_V1_iqr,0.779,0.0,-0.664,0.008,0.993,83.154
R_Amp_V6,0.27,0.0,-0.387,0.034,0.981,82.865
Q_Amp_I,0.293,0.0,0.251,0.032,0.993,82.8
ST_Elev_III_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_II_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_V2_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_V3_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_V5_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_V6_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_V1_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_I_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_aVR_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_aVL_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_aVF_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_V4_count,0.235,0.0,0.886,0.079,0.869,82.639
ST_Elev_aVR_iqr,0.842,0.0,-0.687,0.004,0.994,82.512
ST_Elev_aVF_iqr,0.859,0.0,-0.864,0.006,0.979,81.844
ST_Elev_aVL_iqr,0.872,0.0,-0.846,0.006,0.983,81.671
