,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
QRS_Dur_Global,-0.15777182907653833,0.06266130442365947,0.037379932008128954,-0.1780807258668743,-0.3294029266311947,-0.2114423545892832,0.3073837635991639,0.3392312012746909,-0.09820942662760189,0.06566710392406655
QRS_Dur_Global_count,0.9994836762859616,0.0029016315899921927,-0.0010164171201836277,-0.0018880114389357263,-0.0003061088997099393,-0.0011278593565758753,-0.000378014776236067,-0.002759492135081255,0.002257803349913109,0.0004435246149415079
QRS_Dur_Global_iqr,-0.013971226923145839,0.07294823542428469,0.006107786636015759,-0.05669877845912728,-0.03451575923117147,-0.10781112659650854,0.13798509492118116,0.18020647484524943,-0.06615695013920465,-0.08753409719300509
Q_Amp_I,0.05751032089987629,0.3098643789232286,0.04784925275826888,-0.3358635336347842,-0.30852588934106634,0.3225448434028484,-0.06923420506189641,0.3133234356165589,0.08213125692199585,-0.05206208415489212
Q_Amp_II,-0.019593235799778334,0.22181179996330694,-0.2583923539995603,-0.377342136869861,-0.08481672594162731,-0.20718127467581662,0.3724834963685975,-0.2460119075738296,0.12681484009057206,-0.044107856828540355
Q_Amp_III,-0.073448662369409,0.3255898786902543,-0.2784013053201501,-0.3430580131832694,0.034126037085372915,0.2088759673572328,0.23954028768806288,-0.28495637472959146,0.2318314273186829,-0.13623508707594334
Q_Amp_III_count,0.9999544937785183,0.0028992640726558535,-0.0010366347282439118,-0.001788418053263198,-0.0002918390801546564,-0.0009602268923185804,-0.0004179712385156034,-0.0027042537150966848,0.0022197623284614977,0.00040256684087706257
Q_Amp_III_iqr,-0.0033639719068496747,0.8277407197629862,0.2523688228965697,0.147973250983953,-0.04738780667337586,0.22373606820828848,0.1692563570623341,0.07705157013142781,0.016736850955258384,-0.01565833618846079
Q_Amp_II_count,0.9999544937785185,0.0028992640726558834,-0.0010366347282430464,-0.001788418053263061,-0.0002918390801545452,-0.0009602268923193587,-0.0004179712385153656,-0.0027042537150974806,0.0022197623284619236,0.0004025668408765497
Q_Amp_II_iqr,-0.0017666613550062853,0.7354410687640391,0.2529226153724546,0.08018699744271113,0.3338563295921182,-0.1461178109123747,0.23567081483797797,0.17228250858506947,0.01188424849444549,0.056143125613986246
Q_Amp_I_count,0.9999544937785189,0.002899264072655883,-0.0010366347282438578,-0.0017884180532633264,-0.00029183908015510137,-0.0009602268923197998,-0.00041797123851592446,-0.0027042537150967732,0.0022197623284615294,0.0004025668408766078
Q_Amp_I_iqr,-0.0038391867619163526,0.589817680520383,0.13307605184898502,-0.10521529448056176,-0.29504576207698285,0.5115635873488584,0.03777365890288546,-0.09855835386471487,0.047430399859612754,0.007521506057101789
Q_Amp_V1,-0.03420987183713818,0.2469574537944498,-0.22465565564618054,0.08240252568802978,0.0031885060064981937,0.11094989850665693,-0.31566172165216133,-0.2116980617477584,-0.1658626499068179,0.16526321565475094
Q_Amp_V1_count,0.9999544937785187,0.002899264072655883,-0.001036634728243737,-0.0017884180532631807,-0.00029183908015517087,-0.0009602268923188658,-0.0004179712385158412,-0.00270425371509695,0.0022197623284616677,0.0004025668408770019
Q_Amp_V1_iqr,0.004064161229587698,0.7513767769037129,0.1382930312909782,0.2604668942659253,-0.10401538945092266,0.016444659254695813,0.005864104716178063,-0.022942172476266925,0.04192494968763195,-0.11499811472375432
Q_Amp_V2,-0.018028108857901647,0.21842360928295743,-0.21987749715770866,0.04381911882775806,0.05602470751421223,0.12202185983944064,-0.2928261051677484,-0.1828460596510514,-0.2707346570348024,0.026364275122930107
Q_Amp_V2_count,0.9999544937785187,0.002899264072655838,-0.0010366347282437748,-0.0017884180532630938,-0.0002918390801552402,-0.000960226892318822,-0.0004179712385159482,-0.0027042537150972156,0.002219762328461838,0.00040256684087659766
Q_Amp_V2_iqr,0.003803123451956092,0.8399500138226956,0.17610926458573647,0.19725725896161161,-0.11760454630032098,0.015779662620381937,-0.018192120029638187,-0.06654268125196412,0.013260508000992462,-0.037052101017856415
Q_Amp_V3,-0.027735665245079272,0.24289989143375113,-0.250335356372891,-0.1082007480292359,-0.023596770031664466,-0.000255431480411837,-0.03889073443216867,-0.2999112115348263,-0.227309046133366,-0.13182490439129407
Q_Amp_V3_count,0.9999544937785187,0.00289926407265588,-0.0010366347282437828,-0.0017884180532630784,-0.00029183908015525543,-0.0009602268923188155,-0.00041797123851596235,-0.002704253715097174,0.0022197623284619236,0.0004025668408763551
Q_Amp_V3_iqr,0.003651151766628179,0.7695084040910907,0.1352635912501515,0.15248105494626232,-0.06952051117542407,0.008126756399978114,0.019360631908846255,-0.04404681816225277,0.023981466970204274,-0.02686431093243244
Q_Amp_V4,-0.020855475016349927,0.27559221483841334,-0.26231047961791787,-0.24083027588084885,-0.18380479641257108,-0.1579975191960979,0.20248717470339728,-0.21813863149688276,-0.0669714971320755,-0.02472685960012756
Q_Amp_V4_count,0.9999544937785185,0.002899264072655918,-0.0010366347282437423,-0.0017884180532632642,-0.0002918390801554301,-0.000960226892318955,-0.000417971238515771,-0.00270425371509687,0.0022197623284618477,0.00040256684087660276
Q_Amp_V4_iqr,-0.004819381865349372,0.7087346321415461,0.12822818964010874,0.11868149281146687,-0.06479543709886491,0.0022844618933283594,0.05705725162807621,-0.0642544901498544,-0.018148876072759328,0.052838253930863145
Q_Amp_V5,-0.008024561955387161,0.32325359811271526,-0.28990135827145586,-0.2396827282626122,-0.25024295976352895,-0.18916124316106728,0.23874307139461723,-0.15641613365500565,0.07803631097045706,0.061286045734898965
