,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
QRS_Dur_Global,-0.03724645104950232,0.21937517266520376,-0.4986560952968277,-0.06206403063607735,0.01795092661209254,0.15597826906613607,0.2528399268728786,-0.03033833975399611,-0.1343187596786207,-0.07866484092344132
QRS_Dur_Global_count,0.9831975935948932,-0.06616397616018231,0.047839936632360656,-0.13896303540520197,0.015820707342049545,-0.001005749559693538,-0.008296862899201604,-0.0015980360320505765,0.01881581884938809,-0.0010394919981564284
QRS_Dur_Global_iqr,0.045556118315103124,0.30966737881755885,-0.12617653856004565,-0.01551506754287649,-0.09709983249770883,-0.009970413860702675,-0.0016663455507430508,-0.05439487228486924,-0.012621453398451705,0.02118219520903321
Q_Amp_I,0.044659670964819764,0.08784666949855871,-0.08066487622665972,-0.025786472575665985,-0.017873995888401356,-0.23175309193927077,0.5744956653849524,0.003295293062636159,-0.2402190567901558,-0.16073751589614396
Q_Amp_II,0.016738112692410493,0.20949213387021187,-0.5301605953362041,-0.08957704767249221,0.31220174484594576,-0.032785160426709314,-0.11561385881194032,-0.054747349968952204,-0.0021310095252319717,0.12714471797204377
Q_Amp_III,-0.040263204231619505,0.09801936333660302,-0.33281127588243314,-0.050299567458506125,0.19704699562602299,0.08434403653181673,-0.504680611723006,-0.029156197969725954,0.16886459387754307,0.2444330160624076
Q_Amp_III_count,0.9865193403043798,-0.06557518206601318,0.04694702823010694,-0.13825608129377337,0.013813868721467316,-0.003696478095399614,-0.00740097167767401,-0.0010806203700869281,0.023244113437980312,-0.0049518005588696686
Q_Amp_III_iqr,0.10593083224422677,0.6235887769326308,0.11571219320368524,-0.03136794955233143,0.06225003739359584,0.13279329834238282,0.09348522184296869,-0.2953293093449557,-0.033562483189456496,-0.10825148210526661
Q_Amp_II_count,0.9865193403043799,-0.06557518206601312,0.04694702823010687,-0.13825608129377262,0.013813868721467304,-0.0036964780953993733,-0.007400971677673897,-0.0010806203700868668,0.023244113437980413,-0.004951800558868987
Q_Amp_II_iqr,0.09778559995575928,0.6248663905987013,0.11389470097511294,-0.008552761484816578,0.11045487364775386,0.03130942123001447,0.03480689658407043,-0.3210778567658246,-0.007097538858146291,-0.022048178041829687
Q_Amp_I_count,0.9865193403043798,-0.06557518206601312,0.04694702823010689,-0.13825608129377304,0.01381386872146665,-0.0036964780953993733,-0.0074009716776736135,-0.0010806203700870697,0.023244113437980513,-0.004951800558869078
Q_Amp_I_iqr,0.09612196698812656,0.454615407419897,0.04032589832424941,-0.018561959092152077,0.04756171122927842,0.0684815508266989,0.11213575060425682,-0.18104914925391472,-0.07764768063515845,-0.16574566109132227
Q_Amp_V1,-0.05499229588387392,-0.08406952550455092,0.25604698731796993,0.054237189858721856,-0.14764693164942316,0.27799891535379967,-0.10863777781896908,0.021701691251123485,0.1999275419500151,0.06377934274333195
Q_Amp_V1_count,0.9865193403043799,-0.06557518206601322,0.04694702823010716,-0.13825608129377304,0.013813868721466983,-0.0036964780953994336,-0.007400971677673671,-0.001080620370086894,0.023244113437980413,-0.004951800558868714
Q_Amp_V1_iqr,0.09343227189907241,0.4149528160072158,0.0877103633829584,0.0029830543523648324,0.0672864812724727,0.03146145294730628,-0.01633706792568331,0.45521995485201683,-0.04772271011903747,-0.0365284308011146
