Feature,Importance
ST_Elev_III_count,0.38218963
ST_Elev_aVL_iqr,0.19369327
QRS_Dur_Global,0.07989635
ST_Elev_aVF_iqr,0.05293955
R_Amp_aVL_iqr,0.045743614
R_Amp_aVL,0.027228104
ST_Elev_I_iqr,0.025987644
R_Amp_III,0.023249058
Q_Amp_V1,0.013854204
R_Amp_aVF,0.012281342
ST_Elev_aVR_iqr,0.010184865
ST_Elev_V1,0.010167901
ST_Elev_III_iqr,0.00954614
Q_Amp_aVR_iqr,0.00671694
ST_Elev_II_iqr,0.0064714174
RR_Mean_Global_count,0.0055513545
ST_Elev_I,0.00514284
Q_Amp_V6,0.004920789
Q_Amp_III_iqr,0.004356044
Q_Amp_V5,0.003953369
ST_Elev_aVL,0.0039235395
ST_Elev_aVR,0.0036799852
Q_Amp_aVL,0.0036321646
Q_Amp_I,0.0034670236
Q_Amp_aVL_iqr,0.0032028893
R_Amp_V5,0.0030332583
ST_Elev_V1_iqr,0.0029092631
ST_Elev_III,0.0028681227
Q_Amp_aVR,0.0026593464
ST_Elev_V2,0.0023350865
ST_Elev_aVF,0.0021977879
QRS_Dur_Global_iqr,0.0019597926
R_Amp_V6,0.0018066018
R_Amp_III_iqr,0.001621969
Q_Amp_I_iqr,0.0014819572
R_Amp_V1,0.0013377289
R_Amp_I,0.0013371938
T_Amp_aVL,0.0013272804
T_Amp_aVL_iqr,0.0013183829
Q_Amp_V4,0.0012054024
T_Amp_aVF,0.0011031657
R_Amp_aVF_iqr,0.0010938984
T_Amp_aVR,0.0010850964
T_Amp_V1,0.0010591605
Q_Amp_V1_iqr,0.0010432004
Q_Amp_II,0.0010413947
R_Amp_V1_iqr,0.000986726
ST_Elev_V6_iqr,0.0009280486
Q_Amp_II_iqr,0.00077597
R_Amp_II,0.00074220303
T_Amp_III_iqr,0.0006874126
T_Amp_III,0.000677587
ST_Elev_II,0.00067170657
R_Amp_aVR,0.0006318731
R_Amp_V4,0.0006267503
R_Amp_I_iqr,0.0005820931
R_Amp_V4_iqr,0.0005605665
T_Amp_V4,0.00055998226
T_Amp_V1_iqr,0.0005594895
ST_Elev_V6,0.0005336219
R_Amp_V3_iqr,0.0005119579
T_Amp_I,0.00050394796
QRS_Dur_Global_count,0.000493027
S_Amp_V3,0.00049004937
Q_Amp_III,0.00047184704
R_Amp_V3,0.00047130234
T_Amp_I_iqr,0.00041669843
ST_Elev_V5,0.0004028185
T_Amp_aVF_iqr,0.00039080257
T_Amp_V3,0.00038167174
R_Amp_aVR_iqr,0.00037889712
ST_Elev_V4_iqr,0.00035418835
Q_Amp_V2_iqr,0.0003453543
Q_Amp_V2,0.00032479182
RR_Mean_Global_iqr,0.00029874948
Q_Amp_III_count,0.00028287852
ST_Elev_V3,0.0002808289
T_Amp_V5,0.00026293285
T_Amp_V6_iqr,0.0002558908
R_Amp_II_iqr,0.00025116873
S_Amp_V1,0.0002505382
T_Amp_V6,0.0002476021
RR_Mean_Global,0.00024264488
T_Amp_II,0.00023977594
R_Amp_V2_iqr,0.00023633432
Q_Amp_V4_iqr,0.00022874902
T_Amp_V4_iqr,0.00022776911
Q_Amp_V3,0.00022573756
S_Amp_V2,0.00022064375
R_Amp_V6_iqr,0.0002123228
ST_Elev_V5_iqr,0.00021124615
Q_Amp_aVF_iqr,0.0002095718
T_Amp_aVR_iqr,0.00018862169
S_Amp_V2_iqr,0.00018267389
T_Amp_II_iqr,0.00017153262
Q_Amp_aVF,0.00016677707
T_Amp_V2,0.00016650735
S_Amp_V1_iqr,0.00016172083
Q_Amp_V3_iqr,0.00016093797
T_Amp_V5_iqr,0.00015972741
T_Amp_V2_iqr,0.00015671387
ST_Elev_V3_iqr,0.00014902592
ST_Elev_V2_iqr,0.00013198167
R_Amp_V5_iqr,0.00012734876
Q_Amp_V6_iqr,0.000105486506
R_Amp_V2,9.636688e-05
ST_Elev_V4,7.762751e-05
S_Amp_V3_iqr,7.118167e-05
T_Amp_V3_iqr,4.207672e-05
Q_Amp_V5_iqr,3.1746276e-05
Q_Amp_V1_count,0.0
Q_Amp_V6_count,0.0
Q_Amp_V5_count,0.0
Q_Amp_V3_count,0.0
Q_Amp_V4_count,0.0
Q_Amp_V2_count,0.0
Q_Amp_II_count,0.0
Q_Amp_I_count,0.0
Q_Amp_aVR_count,0.0
R_Amp_III_count,0.0
Q_Amp_aVF_count,0.0
Q_Amp_aVL_count,0.0
R_Amp_I_count,0.0
R_Amp_V1_count,0.0
R_Amp_V2_count,0.0
R_Amp_V3_count,0.0
R_Amp_V4_count,0.0
ST_Elev_V3_count,0.0
ST_Elev_V2_count,0.0
ST_Elev_V1_count,0.0
ST_Elev_I_count,0.0
ST_Elev_II_count,0.0
R_Amp_V6_count,0.0
R_Amp_aVL_count,0.0
R_Amp_aVR_count,0.0
R_Amp_aVF_count,0.0
R_Amp_V5_count,0.0
R_Amp_II_count,0.0
ST_Elev_V4_count,0.0
ST_Elev_V5_count,0.0
ST_Elev_V6_count,0.0
ST_Elev_aVF_count,0.0
ST_Elev_aVL_count,0.0
T_Amp_III_count,0.0
S_Amp_V3_count,0.0
S_Amp_V1_count,0.0
S_Amp_V2_count,0.0
ST_Elev_aVR_count,0.0
T_Amp_II_count,0.0
T_Amp_I_count,0.0
T_Amp_V1_count,0.0
T_Amp_V4_count,0.0
T_Amp_V3_count,0.0
T_Amp_V2_count,0.0
T_Amp_V5_count,0.0
T_Amp_V6_count,0.0
T_Amp_aVF_count,0.0
T_Amp_aVL_count,0.0
T_Amp_aVR_count,0.0
