Feature,Mean_Diff,Median_Diff,Cohen_d,Overlap_Coefficient,KS_Stat,KS_pvalue,MW_Stat,MW_pvalue,Similarity
QRS_Dur_Global,3.4474642577116583,3.625,0.1445257873263648,0.8451294832053855,0.10980717245416793,9.49302773033901e-218,4807259575.0,7.607804454297403e-94,Similar
QRS_Dur_Global_count,1.5607854597214619,1.0,0.4417772510584233,0.7941929305623512,0.2056485350513283,0.0,5635392639.5,0.0,Moderately Different
QRS_Dur_Global_iqr,1.0406208550318503,1.0,0.1161604746420301,0.9422113553729325,0.05776508934741653,1.855674759004563e-60,4743923818.5,7.4413438130845595e-65,Similar
Q_Amp_I,0.036253707460309634,0.030063796658983552,0.251121971106052,0.7487234296828902,0.29260402857020973,0.0,5870747871.0,0.0,Moderately Different
Q_Amp_II,0.03644652701426099,0.0428599300173262,0.22511017241023784,0.9377858601465762,0.3219284573244989,0.0,5851002298.0,0.0,Similar
Q_Amp_III,0.0044497061003309375,0.006607748383768599,0.022373041935552895,0.9873226998330612,0.08534718827945276,1.406638562541287e-131,4579558556.0,7.491812587016923e-15,Similar
Q_Amp_III_count,1.5180363835518715,1.0,0.429930761135537,0.7983273258517031,0.2010724038476352,0.0,5603502750.5,0.0,Moderately Different
Q_Amp_III_iqr,-0.03589612238757524,-0.028147329618546404,-0.14017680519132802,0.9992670399637317,0.3943317148842984,0.0,2333698201.0,0.0,Similar
Q_Amp_II_count,1.5180363835518715,1.0,0.429930761135537,0.7983273258517031,0.2010724038476352,0.0,5603502750.5,0.0,Moderately Different
Q_Amp_II_iqr,-0.036350182313772565,-0.027174842100211052,-0.16394175844241776,0.9987304831727628,0.46851553129539086,0.0,1993737777.0,0.0,Similar
Q_Amp_I_count,1.5180363835518715,1.0,0.429930761135537,0.7983273258517031,0.2010724038476352,0.0,5603502750.5,0.0,Moderately Different
Q_Amp_I_iqr,-0.02907822197959178,-0.021790890767518452,-0.16154572266618536,0.9998414478247233,0.5018261603892336,0.0,1821810821.0,0.0,Similar
Q_Amp_V1,-0.04499133928714502,-0.04083230733867205,-0.16501935833853326,0.9477419597574788,0.17758835387793315,0.0,3536807660.0,0.0,Similar
Q_Amp_V1_count,1.5180363835518715,1.0,0.429930761135537,0.7983273258517031,0.2010724038476352,0.0,5603502750.5,0.0,Moderately Different
