Dataset,Feature,Mean,Median,SD,Min,Max,IQR,MAD,Variance,Skewness,Kurtosis,p01,p05,p25,p50,p75,p95,p99
MIMIC-IV,QRS_Dur_Global,165.97280945703272,163.625,24.03607856888603,96.3076923076923,321.818181818182,28.11764705882399,14.025000000000006,577.7330729696623,0.752172262696541,0.8890739739510671,121.666666666667,130.857142857143,149.882352941176,163.625,178.0,212.769230769231,236.0
MIMIC-IV,QRS_Dur_Global_count,13.664689308521865,13.0,3.5684198126765816,3.0,38.0,5.0,2.0,12.73361995950277,0.8874344422246127,1.0547904101360812,8.0,9.0,11.0,13.0,16.0,20.0,24.0
MIMIC-IV,QRS_Dur_Global_iqr,13.70347236198171,13.0,8.987061355283554,0.0,175.0,11.5,5.5,80.76727180363108,1.6211545629077813,7.963076197153452,0.5,2.0,7.0,13.0,18.5,28.5,42.0
MIMIC-IV,Q_Amp_I,-0.035655554432437744,-0.044936203341016445,0.14570396949413422,-14.9681099720849,28.8674408112933,0.06610725567563121,0.03227414937814685,0.021229646726347598,24.594292134627878,4870.952732462301,-0.2386072022455487,-0.1593148311792515,-0.0820521873496654,-0.044936203341016445,-0.0159449316740342,0.1404447589873945,0.44006827844817015
MIMIC-IV,Q_Amp_II,-0.008353005074366931,-0.0371400699826738,0.1609741528103943,-11.7196115009112,19.1781380246029,0.07891872503899815,0.03911714655483535,0.025912677873024172,8.621503712368343,1023.4745790809886,-0.2725014656245219,-0.15841779722640498,-0.07454132502459088,-0.0371400699826738,0.004377400014407275,0.28398367110949096,0.5096054434008982
MIMIC-IV,Q_Amp_III,0.01854393060604221,0.0166077483837686,0.19959301750897257,-14.0646370171366,42.288285593973,0.13725885054223036,0.0687407396639066,0.03983737263833703,33.16106176902543,6507.810547779167,-0.4844086801691088,-0.23040791704421926,-0.04607273692872432,0.0166077483837686,0.09118611361350605,0.25536331510093124,0.460394236256368
MIMIC-IV,Q_Amp_III_count,13.677034502731651,13.0,3.566596411657629,3.0,38.0,5.0,2.0,12.720609963649075,0.8883875138143162,1.0545099654317696,8.0,9.0,11.0,13.0,16.0,20.0,24.0
MIMIC-IV,Q_Amp_III_iqr,0.04584375100111229,0.0268526703814535,0.26168371182694034,0.0009376329454253,102.796024876269,0.02777821691186555,0.011702038500269098,0.06847836503552515,307.99727682858327,112526.98383638753,0.006589497940527695,0.009751503158039524,0.017271305080108074,0.0268526703814535,0.04504952199197362,0.12110550835016025,0.36734134112453
MIMIC-IV,Q_Amp_II_count,13.677034502731651,13.0,3.566596411657629,3.0,38.0,5.0,2.0,12.720609963649075,0.8883875138143162,1.0545099654317696,8.0,9.0,11.0,13.0,16.0,20.0,24.0
MIMIC-IV,Q_Amp_II_iqr,0.03538487434020237,0.02032515789978885,0.2263525972186501,1.93131579623682e-06,102.246933317706,0.020897832769647875,0.008827619550813601,0.051235498267628445,336.77312945515337,134657.17124432363,0.005123734201069375,0.0075511610461091744,0.013128542697393424,0.02032515789978885,0.0340263754670413,0.09100900177489274,0.3111177173921259
