Dataset,Feature,Extreme_Type,Values,SubjectIDs
MIMIC-IV,QRS_Dur_Global,Top 20,"321.8182, 320.0, 308.9333, 305.8333, 305.8182, 298.4, 298.3077, 294.6, 294.0, 293.8, 293.2, 292.5, 291.3333, 290.0, 289.5, 289.5, 289.3846, 289.1667, 288.6667, 287.6667","10337761, 11143932, 10023117, 17094631, 11666182, 10095570, 18995174, 11143932, 12713831, 11143932, 11991203, 14025287, 19866517, 13537167, 10336220, 10337761, 10023117, 17094631, 11666182, 12151554"
MIMIC-IV,QRS_Dur_Global,Bottom 20,"96.3077, 102.0, 102.0, 102.6, 103.0, 103.2308, 103.2727, 103.3846, 103.7778, 104.5, 104.5455, 104.9091, 104.9231, 105.1429, 106.0, 106.0, 106.0, 106.0, 106.2, 106.5","13894879, 15529640, 18075452, 18075452, 13907337, 13434840, 16098597, 18075452, 15529640, 18456681, 17399317, 13434840, 18558866, 15715874, 16098597, 17399317, 17399317, 18075452, 18592566, 11886174"
MIMIC-IV,QRS_Dur_Global_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,QRS_Dur_Global_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10662181, 10948914, 11345525, 12019706, 12448633, 12757547, 13444220, 13503188, 14085291, 14448948, 15709718"
MIMIC-IV,QRS_Dur_Global_iqr,Top 20,"175.0, 157.0, 148.0, 138.0, 136.5, 134.0, 134.0, 132.0, 129.5, 128.0, 126.5, 126.0, 124.0, 123.0, 122.0, 121.0, 120.0, 120.0, 118.0, 117.5","19850525, 19152893, 17168714, 11596570, 11539240, 12290820, 18259917, 10563474, 10563474, 17129194, 17021029, 16111901, 16760919, 12426684, 12165964, 16284832, 11607177, 14219343, 18995174, 12951119"
MIMIC-IV,QRS_Dur_Global_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0","10003299, 10011189, 10014610, 10014652, 10016742, 10023117, 10023117, 10026263, 10026950, 10029874, 10030753, 10030753, 10030753, 10030753, 10030863, 10031316, 10035780, 10035780, 10035780, 10037020"
MIMIC-IV,Q_Amp_I,Top 20,"28.8674, 11.7267, 10.5381, 10.4965, 10.4161, 9.027, 8.9683, 7.7826, 7.1533, 6.6121, 6.3539, 6.1928, 6.1558, 5.8448, 5.7945, 5.7771, 5.3073, 5.2931, 5.2319, 5.2001","14691000, 11960875, 19482678, 18153954, 17132849, 15605951, 16098597, 13733457, 13667220, 18676370, 16098597, 11886174, 15946581, 11386787, 14267880, 11488234, 13991270, 10635271, 17730015, 16270136"
MIMIC-IV,Q_Amp_I,Bottom 20,"-14.9681, -11.6426, -10.9421, -8.3009, -7.7739, -7.2489, -5.3426, -4.0206, -3.017, -2.9669, -2.9093, -2.7577, -2.6878, -2.564, -2.5086, -2.377, -1.5292, -1.4838, -1.4401, -1.4226","13237537, 13762217, 14874072, 11845306, 11663663, 10250736, 10725079, 11339006, 15065955, 10286998, 10286998, 10286998, 19504755, 16702712, 10286998, 12805443, 13237537, 10208178, 19985259, 13296168"
MIMIC-IV,Q_Amp_II,Top 20,"19.1781, 15.4004, 11.5524, 9.0027, 7.1086, 6.9827, 6.5406, 6.1726, 6.0562, 6.0223, 5.9275, 5.6906, 5.498, 5.4441, 5.4225, 5.2025, 5.0408, 4.3678, 4.3589, 4.2719","17132849, 12517010, 11960875, 15605951, 18676370, 11279168, 11886174, 15946581, 14874072, 18153954, 10139387, 14267880, 16766908, 15403852, 17823467, 19355882, 19951395, 13434840, 10286998, 12224027"
MIMIC-IV,Q_Amp_II,Bottom 20,"-11.7196, -10.8198, -8.0878, -6.626, -5.3314, -4.2526, -3.5841, -3.1982, -3.0864, -3.032, -2.7587, -2.7107, -2.6928, -2.6923, -2.1231, -1.7577, -1.6997, -1.6696, -1.6622, -1.6342","13762217, 15689762, 10639500, 10250736, 10725079, 11339006, 16702712, 12597933, 11685620, 15065955, 19504755, 10286998, 10286998, 10286998, 10286998, 11818101, 11818101, 13296168, 11818101, 11818101"
MIMIC-IV,Q_Amp_III,Top 20,"42.2883, 30.3479, 15.2038, 9.0621, 7.6932, 7.5787, 7.2222, 6.4702, 6.2949, 5.9565, 5.7387, 5.6722, 5.6488, 5.6482, 5.6105, 5.5843, 5.565, 5.5389, 5.2851, 5.2244","17132849, 14691000, 12517010, 16098597, 11279168, 13733457, 19482678, 11386787, 16098597, 19951395, 17730015, 11488234, 13991270, 17519144, 10139387, 16766908, 10635271, 17823467, 18467232, 19355882"
MIMIC-IV,Q_Amp_III,Bottom 20,"-14.0646, -10.0148, -9.8559, -8.1745, -7.7651, -6.9985, -4.1168, -3.3945, -3.3819, -3.3263, -3.2475, -2.9895, -2.7049, -2.6244, -2.5543, -2.5246, -2.5222, -2.3657, -2.3446, -2.3371","13237537, 11845306, 15689762, 10639500, 11663663, 14874072, 11685620, 15837552, 12805443, 12597933, 16246903, 14716749, 15161279, 15161279, 12992448, 13897558, 16196998, 13896341, 18139875, 18417736"
