Feature,Quality_Score,Category,Primary_Issues
R_Amp_V4,100,Excellent,None
T_Amp_aVR,98,Excellent,Implausible Values (1.2%)
T_Amp_V6,98,Excellent,Outliers (5.5%) | Implausible Values (1.4%)
T_Amp_V5,98,Excellent,Outliers (5.3%) | Implausible Values (1.3%)
R_Amp_V3,98,Excellent,Implausible Values (1.1%)
R_Amp_III,98,Excellent,Implausible Values (1.4%)
T_Amp_V4,98,Excellent,Outliers (5.2%) | Implausible Values (1.3%)
T_Amp_I,98,Excellent,Implausible Values (1.4%)
Q_Amp_V3,97,Excellent,Implausible Values (1.5%)
Q_Amp_V4,97,Excellent,Outliers (7.0%)
T_Amp_V3,97,Excellent,Implausible Values (1.5%)
R_Amp_aVF,97,Excellent,Implausible Values (1.5%)
T_Amp_III,97,Excellent,Implausible Values (1.9%)
ST_Elev_aVR,97,Excellent,Outliers (6.5%)
T_Amp_II,97,Excellent,Implausible Values (1.5%)
T_Amp_V2,97,Excellent,Implausible Values (1.9%)
T_Amp_V1,97,Excellent,Implausible Values (1.6%)
ST_Elev_II,96,Excellent,Outliers (7.2%)
QRS_Dur_Global_iqr,96,Excellent,Implausible Values (2.2%)
Q_Amp_V2,96,Excellent,Implausible Values (2.0%)
R_Amp_II,96,Excellent,Outliers (6.2%) | Implausible Values (1.4%)
ST_Elev_I,95,Excellent,Outliers (7.8%)
Q_Amp_I_count,94,Excellent,Implausible Values (3.1%)
Q_Amp_V5_count,94,Excellent,Implausible Values (3.1%)
Q_Amp_V6_count,94,Excellent,Implausible Values (3.1%)
Q_Amp_V3_count,94,Excellent,Implausible Values (3.1%)
Q_Amp_V4_count,94,Excellent,Implausible Values (3.1%)
Q_Amp_V2_count,94,Excellent,Implausible Values (3.1%)
Q_Amp_V1_count,94,Excellent,Implausible Values (3.1%)
QRS_Dur_Global,94,Excellent,Implausible Values (3.2%)
Q_Amp_III_count,94,Excellent,Implausible Values (3.1%)
T_Amp_aVF_count,94,Excellent,Implausible Values (3.1%)
T_Amp_V5_count,94,Excellent,Implausible Values (3.1%)
T_Amp_III_count,94,Excellent,Implausible Values (3.1%)
ST_Elev_aVL_count,94,Excellent,Implausible Values (3.3%)
S_Amp_V3_count,94,Excellent,Implausible Values (3.1%)
ST_Elev_aVR_count,94,Excellent,Implausible Values (3.3%)
S_Amp_V2_count,94,Excellent,Implausible Values (3.1%)
T_Amp_V2_count,94,Excellent,Implausible Values (3.1%)
T_Amp_V4_count,94,Excellent,Implausible Values (3.1%)
T_Amp_V3_count,94,Excellent,Implausible Values (3.1%)
T_Amp_aVR_count,94,Excellent,Implausible Values (3.1%)
T_Amp_aVL_count,94,Excellent,Implausible Values (3.1%)
T_Amp_V6_count,94,Excellent,Implausible Values (3.1%)
T_Amp_II_count,94,Excellent,Implausible Values (3.1%)
T_Amp_V1_count,94,Excellent,Implausible Values (3.1%)
T_Amp_I_count,94,Excellent,Implausible Values (3.1%)
ST_Elev_V6_count,94,Excellent,Implausible Values (3.3%)
Q_Amp_II_count,94,Excellent,Implausible Values (3.1%)
R_Amp_V5_count,94,Excellent,Implausible Values (3.1%)
ST_Elev_II_count,94,Excellent,Implausible Values (3.3%)
ST_Elev_V2_count,94,Excellent,Implausible Values (3.3%)
ST_Elev_III_count,94,Excellent,Implausible Values (3.3%)
ST_Elev_I_count,94,Excellent,Implausible Values (3.3%)
R_Amp_I,94,Excellent,Outliers (5.7%) | Implausible Values (2.6%)
R_Amp_V4_count,94,Excellent,Implausible Values (3.1%)
R_Amp_V1_count,94,Excellent,Implausible Values (3.1%)
R_Amp_V3_count,94,Excellent,Implausible Values (3.1%)
R_Amp_V2_count,94,Excellent,Implausible Values (3.1%)
R_Amp_I_count,94,Excellent,Implausible Values (3.1%)
RR_Mean_Global,94,Excellent,Implausible Values (3.3%)
Q_Amp_aVF_count,94,Excellent,Implausible Values (3.1%)
Q_Amp_aVL_count,94,Excellent,Implausible Values (3.1%)
R_Amp_V6_count,94,Excellent,Implausible Values (3.1%)
ST_Elev_aVF_count,94,Excellent,Implausible Values (3.3%)
ST_Elev_V5_count,94,Excellent,Implausible Values (3.3%)
ST_Elev_V4_count,94,Excellent,Implausible Values (3.3%)
S_Amp_V1_count,94,Excellent,Implausible Values (3.1%)
ST_Elev_V3,94,Excellent,Outliers (8.3%)
ST_Elev_V3_count,94,Excellent,Implausible Values (3.3%)
ST_Elev_V1_count,94,Excellent,Implausible Values (3.3%)
Q_Amp_aVR_count,94,Excellent,Implausible Values (3.1%)
R_Amp_aVF_count,94,Excellent,Implausible Values (3.1%)
R_Amp_aVR_count,94,Excellent,Implausible Values (3.1%)
R_Amp_aVL_count,94,Excellent,Implausible Values (3.1%)
R_Amp_III_count,94,Excellent,Implausible Values (3.1%)
R_Amp_II_count,94,Excellent,Implausible Values (3.1%)
ST_Elev_V6,93,Excellent,Outliers (8.5%)
RR_Mean_Global_count,93,Excellent,Implausible Values (3.5%)
QRS_Dur_Global_count,93,Excellent,Implausible Values (3.5%)
ST_Elev_V5,93,Excellent,Outliers (8.7%)
ST_Elev_aVL,93,Excellent,Outliers (8.7%)
ST_Elev_V4,93,Excellent,Outliers (8.6%)
R_Amp_V5,93,Excellent,Outliers (6.9%) | Implausible Values (2.2%)
T_Amp_aVL,92,Excellent,Outliers (5.3%) | Implausible Values (4.2%)
ST_Elev_V2,92,Excellent,Outliers (9.0%)
S_Amp_V1_iqr,92,Excellent,Outliers (8.4%) | Implausible Values (1.1%)
R_Amp_aVF_iqr,92,Excellent,Outliers (5.7%) | Implausible Values (3.6%)
Q_Amp_aVL,92,Excellent,Outliers (7.4%) | Implausible Values (2.3%)
