Feature,VIF,VIF_Is_Infinite,Dataset,Is_Constant,Is_Near_Constant,Recommendation
QRS_Dur_Global,67.52865750494148,False,MIMIC-IV,False,False,Review for Removal (High VIF)
QRS_Dur_Global_count,16390.086662501766,False,MIMIC-IV,False,False,Review for Removal (High VIF)
QRS_Dur_Global_iqr,3.873154269366271,False,MIMIC-IV,False,False,Keep
Q_Amp_I,3.620067894492405,False,MIMIC-IV,False,False,Keep
Q_Amp_II,3.0117269963601943,False,MIMIC-IV,False,False,Keep
Q_Amp_III,4.262724115254084,False,MIMIC-IV,False,False,Keep
Q_Amp_III_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_III_iqr,22.380313788658448,False,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_II_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_II_iqr,19.194680671550067,False,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_I_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_I_iqr,16.421203596454113,False,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V1,2.112736515522682,False,MIMIC-IV,False,False,Keep
Q_Amp_V1_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V1_iqr,12.016289703246462,False,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V2,2.581502295074485,False,MIMIC-IV,False,False,Keep
Q_Amp_V2_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V2_iqr,9.56994050590575,False,MIMIC-IV,False,False,Keep
Q_Amp_V3,3.0340524257909918,False,MIMIC-IV,False,False,Keep
Q_Amp_V3_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V3_iqr,8.055954912728907,False,MIMIC-IV,False,False,Keep
Q_Amp_V4,2.7598030263470044,False,MIMIC-IV,False,False,Keep
Q_Amp_V4_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V4_iqr,7.049244551012517,False,MIMIC-IV,False,False,Keep
Q_Amp_V5,2.3789755878095975,False,MIMIC-IV,False,False,Keep
Q_Amp_V5_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V5_iqr,8.409673252417088,False,MIMIC-IV,False,False,Keep
Q_Amp_V6,2.0416221523865707,False,MIMIC-IV,False,False,Keep
Q_Amp_V6_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_V6_iqr,10.085802067108675,False,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_aVF,4.871326712076618,False,MIMIC-IV,False,False,Keep
Q_Amp_aVF_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_aVF_iqr,34.07460739047001,False,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_aVL,4.887567053076091,False,MIMIC-IV,False,False,Keep
Q_Amp_aVL_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_aVL_iqr,33.820161878823555,False,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_aVR,3.4722844147340393,False,MIMIC-IV,False,False,Keep
Q_Amp_aVR_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
Q_Amp_aVR_iqr,53.35320931466972,False,MIMIC-IV,False,False,Review for Removal (High VIF)
RR_Mean_Global,28.948632047277833,False,MIMIC-IV,False,False,Review for Removal (High VIF)
RR_Mean_Global_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
RR_Mean_Global_iqr,1.6076359864765961,False,MIMIC-IV,False,False,Keep
R_Amp_I,23.679981321838305,False,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_II,8.259184824864567,False,MIMIC-IV,False,False,Keep
R_Amp_III,8.681669543966917,False,MIMIC-IV,False,False,Keep
R_Amp_III_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_III_iqr,5.523470024800151,False,MIMIC-IV,False,False,Keep
R_Amp_II_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_II_iqr,7.3022747020550876,False,MIMIC-IV,False,False,Keep
R_Amp_I_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_I_iqr,4.9924261321906895,False,MIMIC-IV,False,False,Keep
R_Amp_V1,3.7045545687720254,False,MIMIC-IV,False,False,Keep
R_Amp_V1_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_V1_iqr,4.84319390491949,False,MIMIC-IV,False,False,Keep
R_Amp_V2,3.595781811807647,False,MIMIC-IV,False,False,Keep
R_Amp_V2_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_V2_iqr,2.9664126478854542,False,MIMIC-IV,False,False,Keep
R_Amp_V3,4.125988881592478,False,MIMIC-IV,False,False,Keep
R_Amp_V3_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_V3_iqr,3.3008227780727206,False,MIMIC-IV,False,False,Keep
R_Amp_V4,4.960643724859846,False,MIMIC-IV,False,False,Keep
R_Amp_V4_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_V4_iqr,4.563669190457622,False,MIMIC-IV,False,False,Keep
R_Amp_V5,6.4422054552590735,False,MIMIC-IV,False,False,Keep
R_Amp_V5_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_V5_iqr,5.404880369239373,False,MIMIC-IV,False,False,Keep
R_Amp_V6,5.015812393606778,False,MIMIC-IV,False,False,Keep
R_Amp_V6_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_V6_iqr,6.381296358753149,False,MIMIC-IV,False,False,Keep
R_Amp_aVF,21.74122427371085,False,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_aVF_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_aVF_iqr,8.009602522337945,False,MIMIC-IV,False,False,Keep
R_Amp_aVL,11.760754123688844,False,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_aVL_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_aVL_iqr,6.288277668603936,False,MIMIC-IV,False,False,Keep
R_Amp_aVR,4.778092160285832,False,MIMIC-IV,False,False,Keep
R_Amp_aVR_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
R_Amp_aVR_iqr,9.723254149243587,False,MIMIC-IV,False,False,Keep
ST_Elev_I,4.2523816912268195,False,MIMIC-IV,False,False,Keep
ST_Elev_II,6.252018834673937,False,MIMIC-IV,False,False,Keep
ST_Elev_III,7.39642525576407,False,MIMIC-IV,False,False,Keep
ST_Elev_III_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_III_iqr,23.6945843789134,False,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_II_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_II_iqr,33.66718730686288,False,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_I_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_I_iqr,16.789637857952506,False,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_V1,1.9039160587333714,False,MIMIC-IV,False,False,Keep
ST_Elev_V1_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_V1_iqr,6.8443310234422245,False,MIMIC-IV,False,False,Keep
ST_Elev_V2,1.8010638735649547,False,MIMIC-IV,False,False,Keep
ST_Elev_V2_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_V2_iqr,8.940073554247435,False,MIMIC-IV,False,False,Keep
ST_Elev_V3,1.8673953579961584,False,MIMIC-IV,False,False,Keep
ST_Elev_V3_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_V3_iqr,6.6548668784932286,False,MIMIC-IV,False,False,Keep
ST_Elev_V4,1.7771459573707058,False,MIMIC-IV,False,False,Keep
ST_Elev_V4_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_V4_iqr,7.664224355480634,False,MIMIC-IV,False,False,Keep
ST_Elev_V5,1.9690889582618516,False,MIMIC-IV,False,False,Keep
ST_Elev_V5_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_V5_iqr,5.15712301224403,False,MIMIC-IV,False,False,Keep
ST_Elev_V6,1.8436490551424276,False,MIMIC-IV,False,False,Keep
ST_Elev_V6_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_V6_iqr,7.916342863292093,False,MIMIC-IV,False,False,Keep
ST_Elev_aVF,4.729573049866263,False,MIMIC-IV,False,False,Keep
ST_Elev_aVF_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_aVF_iqr,66.36056534596602,False,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_aVL,10.610817699143068,False,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_aVL_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_aVL_iqr,67.66476463168983,False,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_aVR,2.793510766114496,False,MIMIC-IV,False,False,Keep
ST_Elev_aVR_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
ST_Elev_aVR_iqr,72.37236683126149,False,MIMIC-IV,False,False,Review for Removal (High VIF)
S_Amp_V1,1.4368717413987948,False,MIMIC-IV,False,False,Keep
S_Amp_V1_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
S_Amp_V1_iqr,7.384824236022585,False,MIMIC-IV,False,False,Keep
S_Amp_V2,1.6028811965311873,False,MIMIC-IV,False,False,Keep
S_Amp_V2_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
S_Amp_V2_iqr,5.44630623101937,False,MIMIC-IV,False,False,Keep
S_Amp_V3,1.9453360174726346,False,MIMIC-IV,False,False,Keep
S_Amp_V3_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
S_Amp_V3_iqr,8.93020818275172,False,MIMIC-IV,False,False,Keep
T_Amp_I,6.55227620082917,False,MIMIC-IV,False,False,Keep
T_Amp_II,8.251321696360902,False,MIMIC-IV,False,False,Keep
T_Amp_III,5.618022696250157,False,MIMIC-IV,False,False,Keep
T_Amp_III_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
T_Amp_III_iqr,23.644876779292456,False,MIMIC-IV,False,False,Review for Removal (High VIF)
T_Amp_II_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
T_Amp_II_iqr,24.526371835129762,False,MIMIC-IV,False,False,Review for Removal (High VIF)
T_Amp_I_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
T_Amp_I_iqr,4.051072252143968,False,MIMIC-IV,False,False,Keep
T_Amp_V1,1.205024526837018,False,MIMIC-IV,False,False,Keep
T_Amp_V1_count,9999.0,True,MIMIC-IV,False,False,Review for Removal (High VIF)
T_Amp_V1_iqr,1.8285869968741812,False,MIMIC-IV,False,False,Keep
T_Amp_V2,1.524382249289015,False,MIMIC-IV,False,False,Keep
