Dataset,Method,Threshold,Feature_1,Feature_2,Correlation
MIMIC-IV,Pearson,> 0.9,Q_Amp_III_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_II_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_II_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_I_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_I_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_I_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V1_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_V1_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V1_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V1_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V2_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_V2_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V2_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V2_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V2_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V3_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_V3_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V3_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V3_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V3_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V3_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V4_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_V4_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V4_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V4_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V4_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V4_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V4_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V5_count,Q_Amp_V4_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,QRS_Dur_Global_count,0.9995211221385587
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_III_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_II_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_I_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_V1_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_V2_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_V3_count,1.0
MIMIC-IV,Pearson,> 0.9,Q_Amp_V6_count,Q_Amp_V4_count,1.0
