Feature,Lower_Bound_PTBXL,Upper_Bound_PTBXL,Num_Outside_Range,Pct_Outside_Range,Extreme_Subject_Examples,Note
QRS_Dur_Global,123.0,228.0,13197,3.24,"10001884, 10001884, 10001884, 10001884, 10002528","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
QRS_Dur_Global_count,7.0,21.0,14353,3.52,"10001884, 10002495, 10003019, 10003019, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
QRS_Dur_Global_iqr,0.5,38.0,9125,2.24,"10001884, 10003299, 10007818, 10010058, 10011189","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_I,-0.28,0.42,6503,1.6,"10003299, 10003502, 10003502, 10003502, 10005858","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_II,-0.325,0.5700000000000001,5141,1.26,"10001884, 10001884, 10001884, 10001884, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_III,-0.45,0.49,8240,2.02,"10003502, 10003502, 10003502, 10003502, 10003502","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_III_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_III_iqr,0.0099999999999999,0.515050000000001,24578,6.03,"10000032, 10000117, 10000980, 10001401, 10002013","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_II_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_II_iqr,0.0099999999999999,0.4625,53461,13.12,"10000032, 10000980, 10001217, 10001401, 10001843","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_I_count,8.0,22.0,12453,3.06,"10001884, 10003019, 10003019, 10003400, 10003400","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_I_iqr,0.0099999999999999,0.3875,63508,15.59,"10000826, 10000980, 10001401, 10001492, 10001884","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
Q_Amp_V1,-0.34,0.5801000000000022,10279,2.52,"10001877, 10002430, 10003637, 10004606, 10005012","Bounds from PTB-XL (outpatient); differences may reflect ICU population, not extraction errors"
