Feature,KS_Statistic,KS_pvalue,Cohens_d,JS_Divergence,Quantile_Correlation,Similarity_Score
T_Amp_aVR,0.09684068432521564,2.3455804597118468e-169,0.08960445444061922,0.00013618972397126065,0.9981847146318787,98.02878591540211
Q_Amp_III,0.08534718827945276,1.406638562541287e-131,0.022373041935552895,0.00022511842412348645,0.9959688493238241,97.77695949076846
T_Amp_V6,0.10833357960908094,6.254865693449561e-212,0.024065220817536336,0.0005722114592334384,0.9959975190376055,97.64188692269867
R_Amp_I,0.09941587819820152,1.765884785648865e-178,-0.09172021254022111,0.00123439260140598,0.9939153303074203,97.3959907292341
T_Amp_III,0.057450456986194776,8.338251841123002e-60,0.011085131813361022,0.0012415144652261224,0.9976689171835642,97.32727853064426
T_Amp_I,0.11694266806226983,5.346126079481173e-247,0.09194216282911057,0.0006874514088206613,0.9968480117235421,97.03148175837426
T_Amp_V5,0.07984160295137122,3.553375666004213e-115,-0.016683622110671883,0.0011207997547287892,0.9960999948875335,97.0056369581743
T_Amp_II,0.07474402564543964,5.58565366839232e-101,0.016348150038299966,0.0023387675461739215,0.9967181287967972,96.88500849057824
QRS_Dur_Global_iqr,0.05776508934741653,1.855674759004563e-60,0.1161604746420301,0.0027289591776586556,0.9989527165305437,96.42399406086263
T_Amp_V4,0.1419349316645342,0.0,-0.10594794334746555,0.0007066105161866545,0.997052336919229,96.41253702349383
R_Amp_III,0.07169620556147438,6.148660171232627e-93,-0.0693508985832824,0.002136063201946657,0.9981245975818843,96.19287328303689
R_Amp_V3_iqr,0.20569651231557995,0.0,-0.05144269586945124,0.00014771683171562166,0.9916553105019273,95.82988976593367
R_Amp_aVR,0.18803032065013753,0.0,0.17393257034465098,0.0013527468436842168,0.9827332091432728,95.8272291998653
R_Amp_aVF_iqr,0.20933518648797517,0.0,-0.023838133934966376,0.00030198877383256497,0.9953327171545696,95.726320788231
R_Amp_V2_iqr,0.21733686767580515,0.0,-0.04359313269474538,0.00013250667503610122,0.9919914952097428,95.61909823590733
R_Amp_III_iqr,0.2213089080065106,0.0,-0.020797014569719337,0.00015917047936456988,0.9904780342411239,95.54958762231604
T_Amp_aVF,0.1448237863943057,0.0,-0.19290890042625164,0.004273641758514315,0.975892965395126,95.52391866060782
RR_Mean_Global_iqr,0.14364266097463194,0.0,0.06708439439032587,0.0034761847088302807,0.9938227529768275,95.09184578820432
R_Amp_V4_iqr,0.24790744914123652,0.0,-0.055715283835446106,0.00013988930528673657,0.996232989757752,94.96951131028077
S_Amp_V1,0.2397704650541302,0.0,-0.03622632501629445,0.000809887004097022,0.9849364368657451,94.86244035954276
R_Amp_V5_iqr,0.2589189033912415,0.0,-0.07385780848283725,9.421786605175857e-05,0.9894068273582592,94.78018887455609
Q_Amp_aVF,0.12104334483618173,1.1901009532753798e-264,-0.0698519790448033,0.003935254956823157,0.9866093791183097,94.76767916550932
R_Amp_V1_iqr,0.26621930740818456,0.0,-0.052936774599125554,5.401043862080376e-05,0.9946884860436102,94.66756308317747
R_Amp_I_iqr,0.27978815604010987,0.0,-0.02711265599416773,0.0001596963229939199,0.995152930750136,94.37640596220807
R_Amp_aVL_iqr,0.2798991773638557,0.0,-0.02332284281505155,0.0002034684330355524,0.9762004266059636,94.32830959672562
T_Amp_V3,0.2293240826802863,0.0,-0.2543275238671935,0.0029259318997886348,0.9967322844042346,94.32357931491504
R_Amp_V6_iqr,0.28284316582516966,0.0,-0.08627991458517084,7.360079855842938e-05,0.975516494318404,94.31871777566883
Q_Amp_V1,0.17758835387793315,0.0,-0.16501935833853326,0.004405422057122197,0.9889635781324351,94.1816944304556
T_Amp_aVL,0.23900351133654815,0.0,0.37396931506012865,0.007747822204251973,0.9650555022246341,94.04911898017173
R_Amp_V1,0.1725708539104368,0.0,0.21130938878357666,0.006292080142062643,0.9835844839306543,93.96708444820248
S_Amp_V2,0.1384437967477617,0.0,0.10483276404608348,0.004719603063080077,0.9963212581132908,93.77286509136555
S_Amp_V2_iqr,0.3156515068270037,0.0,-0.1318089631031695,0.00040323608407681714,0.9966855426848191,93.57350049221625
R_Amp_II_iqr,0.32490613555559,0.0,-0.05837831306717873,0.00022036590389214712,0.9836797958173454,93.42933685289758
Q_Amp_V2,0.13926902956161624,0.0,-0.20830087863802785,0.007643613239416538,0.9950598675843924,93.3690683637145
R_Amp_V2,0.2113911100441231,0.0,0.23504195798492059,0.005771594270253863,0.991804880461794,93.25464836774637
Q_Amp_V3,0.2112708610935947,0.0,-0.06718260648963381,0.004738993098972324,0.9957403876708999,92.977423571748
Q_Amp_aVL,0.2165032450049174,0.0,0.26245140861916544,0.005586229398930213,0.9914158187214083,92.97130600117038
S_Amp_V1_iqr,0.3492053813148735,0.0,-0.13320589082052103,0.0004335787755670366,0.9981076220874674,92.91375060774362
S_Amp_V3_iqr,0.353388322777299,0.0,-0.12915485122349096,0.0003285073644558796,0.9972788785795332,92.84917055243415
Q_Amp_V3_iqr,0.35187084276732233,0.0,-0.14360897402500936,0.0005373443086717189,0.9958263196426644,92.79094627514246
